horizon,mse,rmse,mae,mape,mdape,smape,coverage
148 days,665.5884477630194,25.799000906295177,8.533835865883443,0.08003520151376568,0.022531594554712785,0.060253053471302144,0.19047619047619047
149 days,669.9405462014132,25.88320973529777,8.963089955054144,0.08325611997346344,0.022803546438326296,0.06361424278230178,0.11904761904761904
150 days,676.3838683188976,26.00738103536951,9.434991120236933,0.08646210447533809,0.022803546438326296,0.06699922196747199,0.09523809523809523
151 days,678.8221802205867,26.05421616976006,9.687192561495596,0.08749270262721483,0.025361930397752683,0.06798564040997074,0.09523809523809523
152 days,678.5085887591334,26.04819741861485,9.69170808298452,0.08726605147050555,0.03222173720522336,0.06767370834939511,0.09523809523809523
172 days,679.6326262209348,26.06976459849484,9.704993526773091,0.09117165541444536,0.025361930397752683,0.07111027425796992,0.07142857142857142
173 days,679.2907177507512,26.06320620627384,9.761572832502251,0.0928437000359314,0.03222173720522336,0.07290554698463458,0.047619047619047616
174 days,677.9181854566402,26.036862050881634,9.60069101962875,0.09050704997290845,0.03222173720522336,0.07069810521881602,0.047619047619047616
175 days,1462.4977107085615,38.24261642080157,15.491666029788824,0.14631199018016816,0.03222173720522336,0.10417922213844319,0.047619047619047616
176 days,1137.5008727880563,33.72685684714863,12.78720626717558,0.11957330662121618,0.025361930397752683,0.08713914362105803,0.047619047619047616
177 days,812.4726312659656,28.503905544082297,10.068845206482722,0.09304193232441975,0.025361930397752683,0.07041709824608725,0.047619047619047616
178 days,814.2547513013652,28.535149400368752,10.21179059701208,0.09388589651048077,0.03222173720522336,0.07120556407466831,0.09523809523809523
179 days,819.1111795140869,28.620118439903194,10.574179381488854,0.09669977811494294,0.036095759873382066,0.07421324234320428,0.09523809523809523
180 days,818.6869855166517,28.612706714266857,10.513089287417134,0.09615253580631904,0.03222173720522336,0.07367975652315832,0.09523809523809523
181 days,826.758148193576,28.753402375955023,11.10661680847493,0.10014711928978275,0.036095759873382066,0.07786920611924851,0.047619047619047616
182 days,824.7368869773696,28.718232657623094,11.068840498845612,0.0985756875958245,0.036095759873382066,0.07595595523844284,0.047619047619047616
202 days,822.909777239804,28.6864040486047,10.828084818320079,0.09736538622654925,0.036095759873382066,0.07474992498231466,0.047619047619047616
203 days,827.2089811062615,28.761240952126204,10.962710670975573,0.1030214249039193,0.032098258194227104,0.0798003455011981,0.047619047619047616
204 days,825.9191453311638,28.738809045107693,10.93329695735734,0.10198330153738355,0.036095759873382066,0.07905653165301786,0.047619047619047616
205 days,1719.960446309062,41.472405841825264,17.12775353047006,0.1596576633130833,0.032098258194227104,0.11235615114879792,0.047619047619047616
